id,buyerName,lenderName,address,city,saleDate,saleValue,loanAmount
1,APEX NETWORK SOLUTIONS LLC,GROUP 309 INC,2915 SOPE CREEK DR,MARIETTA,2025-06-30,405000,320000
2,SPH ASSET MANAGEMENT LLC,LENDINGONE LLC,815 SYLVAN DR,MARIETTA,2025-06-30,380000,374445
3,CARTER ENTERPRISE LLC,KIAVI FUNDING INC,2965 POND VIEW CT,MARIETTA,2025-06-30,340000,404900
4,L2L27 LLC,GOLD STEPHEN,4386 HICKS RD SW,MABLETON,2025-06-30,3203840,3405320
5,L2L27 LLC,GOLD STEPHEN,780 CONCORD RD SW,SMYRNA,2025-06-30,545000,3405320
6,L2L27 LLC,GOLD STEPHEN,4470 BRAZOS DR SW,SMYRNA,2025-06-30,545000,3405320
7,CREEKSIDE EQUITIES LLC,HHH HOLDINGS LLC,1534 COOPER LAKE RD SE,SMYRNA,2025-06-30,475000,659866
8,REVIVE PRO HOLDINGS LLC,ANCHOR LOANS LP,4329 ORCHARD VALLEY DR SE,ATLANTA,2025-06-30,1500000,1725000
9,CMNC HOMES LLC,J ROSS PROPERTIES LLC,648 SUNSHINE TRCE NW,ACWORTH,2025-06-30,220000,220000
10,HIGHVIEW PROPERTY SERVICES LLC,MARSHALL REDDICK MTG FUND LLC,6883 LAKESHORE DR,DOUGLASVILLE,2025-06-30,180000,185000
11,GP CAPITAL LLC,RAIN CITY CAPITAL,1648 WILLIAMSON RD,GRIFFIN,2025-06-30,125000,217500
12,PEACHTREE RESIDENTIAL LLC,DAY INVS LLC,4585 GREYSON MANOR DR,CUMMING,2025-06-30,734100,733240
13,PEACHTREE RESIDENTIAL LLC,DAY INVS LLC,4650 GREYSON MANOR DR,CUMMING,2025-06-30,734100,733240
14,PEACHTREE RESIDENTIAL LLC,DAY INVS LLC,4630 GREYSON MANOR DR,CUMMING,2025-06-30,734100,733240
15,PEACHTREE RESIDENTIAL LLC,DAY INVS LLC,4620 GREYSON MANOR DR,CUMMING,2025-06-30,734100,733240
16,WATERFORD HOMES GEORGIA LLC,SOUTH STATE BANK NA,4530 GREYSON MANOR DR,CUMMING,2025-06-30,184600,1410000
17,PINK MOUNTAIN CAPITAL LLC,KIAVI FUNDING INC,207 WALTHALL ST NW,MARIETTA,2025-06-27,365000,419600
18,RETRAC INTERNATIONAL LLC,CREBRID LLC,1015 CREATWOOD CIR SE,SMYRNA,2025-06-27,245000,230400
19,NEST VEST LLC,MORGAN DEBRA,432 VIRGINIA PL SE,MARIETTA,2025-06-27,250000,150000
20,HC HOMES LLC,KAP SUNG SUH AND CHUNG OK CHOI,3276 WETHERBYRNE RD NW,KENNESAW,2025-06-27,380000,204328
21,QUEST VENTURES LLC,AGSOUTH FARM CREDIT ACA,1488 HIGHWAY 92 S,FAYETTEVILLE,2025-06-27,235800,199580
22,QUEST VENTURES LLC,AGSOUTH FARM CREDIT ACA,1488 HIGHWAY 92 S,FAYETTEVILLE,2025-06-27,233800,199580
23,MY A PEACH LLC,UNITED WHOLESALE MORTGAGE LLC,135 ROCKGLEN CT,FAYETTEVILLE,2025-06-27,520000,390000
24,JL LEGACY GROUP LLC,FIRST PEOPLES BANK,15800 CONCORD ST,ZEBULON,2025-06-27,200000,188000
25,AMERICAN DREAM HOUSE INVESTMENTS LLC,EASY STREET CAPITAL LLC,199 ROBBIE LN SW,MARIETTA,2025-06-26,235000,274500
26,KOYO GIKEN CO LTD,IBNET CO LTD,4074 STEPHANIE CT NW,KENNESAW,2025-06-26,425000,212500
27,CRUSE REALTY LLC,BANK OF AMERICA,2897 CRUSE RD,LAWRENCEVILLE,2025-06-26,0,1800000
28,FLIP CHICKS CAPITAL LLC,TRIDENT REALTY INVESTMENTS,905 PARK PL NE,CONYERS,2025-06-26,149000,152600
29,SERA PROPERTIES LLC,KIAVI FUNDING INC,2610 PLAINS CT,MARIETTA,2025-06-25,325000,507400
30,TCT CAPITAL LLC,KIAVI FUNDING INC,3511 BROOKVIEW DR,MARIETTA,2025-06-25,350000,409500
31,A & R REMODELING AND INTERIOR DESIGN LLC,AMERICAN FINANCIAL NETWORK INC,2115 RANDOLPH CIR NW,KENNESAW,2025-06-25,390000,292500
32,4251 LOWER ROSWELL LLC,CITADEL SERVICING CORPORATION,4251 1&2 LOWER ROSWELL RD,,2025-06-24,500000,375000
33,BACK FORTY ACQUISITIONS LLC,SILVER HILL FUNDING LLC,898 BANK ST SE,SMYRNA,2025-06-24,570000,342000
34,G GEORGE AND ASSOCIATES INC,HOUSEMAX FUNDING LLC,6649 VALLEY HILL DR SW,MABLETON,2025-06-24,229000,256100
35,ROYAL PERUVIAN GOLD INC,TAN INDUSTRIES,847 CHARTLEY DR SW,LILBURN,2025-06-24,190000,201189
36,SOUTHVINE HOMES LLC,WINDSOR DEV COMPANY LLC,2310 WINDSOR BLUFFS DR,CUMMING,2025-06-24,450000,50000
37,SOUTHVINE HOMES LLC,WINDSOR DEV COMPANY LLC,2330 WINDSOR BLUFFS DR,CUMMING,2025-06-24,450000,50000
38,TPG HOMES LLC,JBGL BUILDER FINANCE,155 BASIL ST,CUMMING,2025-06-24,321200,1489225
